ID,Proyek,Skill,Budget,Durasi ( hari),Deskripsi,,,,,,,,,,,,,,,,,,,,
172,Butuh Judul dan Data skripsi IT di Bali,Mobile Programming,"Rp 750,000 - 1,800,000",7,"Saya butuh saran judul dan data skripsi bidang IT yang objek penelitiannya di Bali. Jika ada yang punya saran silahkan bertanya di sini.Tolong lampirkan saran judul, latar belakang, dan bukti jika anda punya data-datanya. Jika terpilih saya ingin agar bisa berkonsultasi atau bertanya tentang judul yang diambil. Silahkan bertanya untuk negosiasi harga (jika dibutuhkan) dan kontak whatsapp yang bisa dihubungi. Terima kasih",,,,,,,,,,,,,,,,,,,,
173,Menulis soal SKD CPNS sesuai soal tahun lalu,Data Entry,"Rp 100,001 - 150,000",7,"Baca sampai tuntasDi utamakan yang pernah ikut ujian SKD CPNS, dan mengerti tentang soal-soal cpns. Sertakan model soal minimal 2 butir masing2 tipe berikut TKP dan TWKSyarat dan ketentuan 1. Soal TWK 30 Butir harus tipe HOTS 2. Soal TKP 30 Butir 3. Soal wajib tipe HOTS / bukan hafalan. Cari referensi di youtub. 4. Penulisan dalam format excel",,,,,,,,,,,,,,,,,,,,
174,Pembuatan proposal penelitian Mengenai antikanker,Writing,"Rp 250,000 - 400,000",7,Membuat proposal seperti pada bab 3 skripsi mengenai antikanker dengan judul  aktivitas antikanker Kombinasi Bakteri Probiotik Lactobacillus reuteri dengan Sari Buah Kurma (Phoenix dactylifera) berbasis in vitro. Diutamakan bagai yang pernah penelitian dan berpartisipasi dalam penelitian yang serupa. Mohon bid bagi yang bisa karena ini benar butuh cepat. Saya harap yang coba-coba jangan bid ya. Untuk format akan diberikan ke pihak yang terpilih. Terima kasih,,,,,,,,,,,,,,,,,,,,
175,Publisher Wikipedia,Social Media Marketing (SMM),"Rp 200,000 - 300,000",30,"dibutuhkan publisher wikipedia yang bisa buat bantuin untuk tokoh publik dan untuk informasi perusahaan, silahkan bid dan infokan ke saya penawaran Anda",,,,,,,,,,,,,,,,,,,,
176,"3 artikel sejarah kota Malang @1k kata, lengkap detail dengan images pendukung (minimal 5)",Content Writer,"Rp 50,000 - 100,000l",3,"3 artikel sejarah kota Malang @1,000 kata, lengkap detail dengan images pendukung (minimal 5)syarat penulispunya skill pengetahuan & passion di sejarah kota malangbisa tulis dgn tatanan SEO dgn benar (heading dll), lengkap dgn images (minimal 5) per artikel100% oritopik bisa berdasarkan specific lokasi, event/ kejadian, dllSilahkan berikan 3 ide topic/ keyword u/ ditarget yg km mau tulis & alasan/ pertimbangan singkat per masing2 topic.Yang cocok bs u/ jangka panjang.Report: google docs link di dlm google drive folder",,,,,,,,,,,,,,,,,,,,
177,Menerjemahkan Kata Kata Bahasa Inggris ke Bahasa Indonesia,Translation,"Rp 100,000 - 200,000",7,Menerjemahkan kata kata bahasa inggris ke bahasa indonesiaTotal 600 kataLampirkan portofolio yang pernah anda kerjakan.Di utamakan yang pernah Menerjemahkan aplikasi dan website.Silahkan bid.,,,,,,,,,,,,,,,,,,,,
178,JASA PENULISAN ARTIKEL KEBUTUHAN SEO WEB,Search Engine Optimization (SEO),"Rp 500,000 - 700,000",3,"Saya membutuhkan jasa penulisan artikel SEO berkualitas dengan keyword artikel :Jasa Event OrganizerJasa brandingAdvertisingDigital Printing Percetakan Kontraktor Booth .per kategori masing 2 artikel dan per artikel minimal 300 kata , Artikel di harapkan ariginal menarik , SEO oriented , tidak mengandung sara dan politik ,Artikel bisa di sertakan gambar . mohon ketika pegakuan di sertakan timeline terimakasih",,,,,,,,,,,,,,,,,,,,
179,Joki Test Matemamika (Probabilistik dan Statistik),Statistical Analysis,"Rp 100,001 - 200,000",7,"Hello Worker, I need help to answer Probabilistic and Statistic test on Friday June 2, 2023 from 13.00 WIB until 14.30 WIB, the question will be in English. I attach the question here. you can read it it try to solve and send it to me if you are able to answer the question I will choose you to help me on Friday. the question is about 7-10 question and I need 8-9 correct answer. please send me your bids. Thank You",,,,,,,,,,,,,,,,,,,,
180,Pembuatan Proposal Teknis Due Diligence,Accounting,"Rp 2,500,000 - 5,000,000",30,"Pembuatan Proposal Teknis Due Diligence (Uji Tuntas) yang terdiri Due Diligence Finansial dan Due Diligence Teknis., yang dibuat 2 (dua) proposal). Masing-masing Proposal yang dibuat terdiri dari 5 Bab yakni Pendahuluan, Metode Pelaksanaan, Landasan Konsepsi (Kerangka Teori), Contoh atau Simulasi Pembahasan, Contoh Kesimpulan dan Rekomendasi.  Diketik di atas kertas A4 spasi 1,5 sebanyak 40 s.d 50 lembar. Projek ini idealnya dapat dikerjakan oleh mereka yang memiliki latar belakang S1 Akuntansi, Manajemen, Administrasi Bisnis atau Keuangan, atau mahasiswa S2  dengan bidang yang sama. Silakan yang yakin mampu dan paham mengajukan penawaran.",,,,,,,,,,,,,,,,,,,,
181,"Pembuatan Proposal Teknis Studi Kelayakan, Reviem Bisnis Plan dan SOP Perusahaan",Business Analysis,"Rp 3,500,000 - 7,000,000",45,"Pembuatan Proposal Teknis Studi Kelayakan, Reviem Bisnis Plan dan SOP Perusahaan, jadi yang dibuat 3 (tiga) proposal). Masing-masing Proposal yang dibuat terdiri dari 5 Bab yakni Pendahuluan, Metode Pelaksanaan, Landasan Konsepsi (Kerangka Teori), Contoh atau Simulasi Pembahasan, Contoh Kesimpulan dan Rekomendasi.  Diketik di atas kertas A4 spasi 1,5 sebanyak 40 s.d 50 lembar. Mekanisme kerja tiap minggu 1 kali kirim draft dan 1 kali tata muka (meeting). Projek ini idealnya dapat dikerjakan oleh freelancer yang memiliki latar belakang S1 atau S2 Akuntansi, Manajemen, Administrasi Bisnis atau Keuangan, atau mahasiswa S2 tingkat akhir dengan bidang yang sama. Silakan bagi yang mengerti dan paham ajukan lamaran.",,,,,,,,,,,,,,,,,,,,
182,Pembuatan Proposal Teknis Kajian Divestasi Asset dan Rekstrukturisasi Perusahaan,Business Analysis,"Rp 2,500,000 - 5,500,000",30,"Pembuatan Proposal Teknis Kajian Divestasi Asset dan Kajian Restrukturisasi Perusahaan, yang dibuat 2 (dua) proposal). Masing-masing Proposal yang dibuat terdiri dari 5 Bab yakni Pendahuluan, Metode Pelaksanaan, Landasan Konsepsi (Kerangka Teori), Contoh atau Simulasi Pembahasan, Contoh Kesimpulan dan Rekomendasi.  Diketik di atas kertas A4 spasi 1,5 sebanyak 40 s.d 50 lembar. Mekanisme kerja tiap minggu 1 kali kirim draft dan 1 kali tata muka (meeting). Projek ini idealnya dapat dikerjakan oleh freelancer yang memiliki latar belakang S1 atau S2 Akuntansi, Manajemen, Administrasi Bisnis atau Keuangan, atau mahasiswa S2  dengan bidang yang sama. Diutamakan bagi mereka yang berdomisili di Jabodetabek, karena mekanisme kerja minimal 1 kali dalam setiap minggu ada report atau diskusi langsung.",,,,,,,,,,,,,,,,,,,,
183,Buat Artikel SEO Friendly,Content Writer,"Rp 280,000 - 350,000",30,"Halo workers, saya sedang mencari orang yang bisa membuat artikel SEO Friendly tentang Pembuatan Website / Mobile Aplikasi. total 20 artikel 1 bulan @700 kata Artikelnya diharapkan bisa insightful dan enak untuk dibaca yamohon cantumkan portofolionya dan tinggalkan nomor yang dapat dihubungiTerima kasih",,,,,,,,,,,,,,,,,,,,
184,Buat Artikel SEO Friendly (Sepeda Motor),Content Writer,"Rp 280,000 - 350,000",30,"Halo workers, saya sedang mencari orang yang bisa membuat artikel SEO Friendly tentang Sepeda Motor. total 20 artikel 1 bulan @700 kata Artikelnya diharapkan bisa insightful dan enak untuk dibaca yamohon cantumkan portofolionya dan tinggalkan nomor yang dapat dihubungiTerima kasih",,,,,,,,,,,,,,,,,,,,
185,Menulis 5 artikel,Writing,"Rp 135,000 - 200,000",15,"Kami sedang mencari kandidat yang cocok untuk menjadi penulis tetap di blog kami.Untuk tahap screening, kami minta dibuatkan 5 artikel 600-an kata.Tema tulisan berhubungan dengan hunian/properti dan akan disediakan.Semua artikel ditulis dalam format listicle dan setiap point harus disertakan foto yang mendukung tulisan.Penulis langsung menulis di blog wordpress kami.Saat bid, mohon dijelaskan kelebihan Anda dan berikan beberapa link (url) dari tulisan Anda yang telah tayang.Terima kasih.",,,,,,,,,,,,,,,,,,,,
186,Buat Artikel Ilmiah,Writing,"Rp 105,000 - 150,000",1,"Buar artikel dalam setengah 1 halaman A4 berkaitan ""Resource Management (Resource Scheme) in Software Development Project Management"" dalam bahasa indonesia saja (no copas, no plagiarism), mengacu minimal 4 referensi buku atau jurnal internasional (science direct, IEEE). Selesai dalam 1 hari. Nilai terendah",,,,,,,,,,,,,,,,,,,,
187,Membuat Proposal dengan chatgpt saja,Writing,"Rp 450,000 - 500,000",7,Membuat proposal  kolektif 50 proposalsatu proposal berisi 400 kataboleh menggunakan chat gptsertakan pekerjaan sejenis sebelumnya yg pernah dikerjakan,,,,,,,,,,,,,,,,,,,,
188,Penulis blog,Writing,"Rp 100,001 - 200,000",7,Dibutuhkan penulis bertemakan ketenagakerjaan dan hukum.- diutamakan pendidikan berlatarbelakang hukum;- 5 artikel- minimal 1000 kata per artikelKirimkan sample tulisan dan fee yang diinginkan.,,,,,,,,,,,,,,,,,,,,
189,Mengerjakan Laporan BAB IV Skripsi,Writing,"Rp 350,000 - 500,000",7,"Saya memrlukan bantuan untuk membuat laporan skripsi sistem informasi bab iv, metode yang saya gunakan itu scm. bagi yang bisa mengerjakan ini mohon info . untuk programnya sudah saya buat tinggal hanya membuat laporan hasil dan pembahasan nya saja. semua bahan yang dibutuhkan sudah ada",,,,,,,,,,,,,,,,,,,,
190,PROJECT KE-57: Dicari penulis untuk membuat artikel '500 kata' sebanyak 30 artikel untuk produk garam,Search Engine Optimization (SEO),"Rp 250,000 - 400,000",10,"Semua artikel membahas tentang produk garam seperti garam konsumsi, garam industri,garam yodium, tanpa yodium, krosok kasar, dan krosok halus yang SEOfriendly. No plagiarism 100%, dibuktikan dengan Copyscape, 1text,Smallseotools, atau lainnya. Informatif, padat dan tidak berputar-putarmengejar target kata. Soft-sellingutk perkenalan website saya dengan produk garam dalam skala minimal order 10Ton.Gaya bahasa cerdaskekinian tapi juga harus sesuai kaidahEYD. Diperbolehkan penyematan istilahasing secukupnya. Termasuk penggunaan hurufbesar, tanda baca dan lainnya wajibcek 100% jangan ada yang salah ketik.Judul dan format materi artikel sepenuhnya dari saya danakan saya berikan kepada worker yang saya pilih saat akan memulai pekerjaan.Wajib memberikan satu artikel asli yang pernah dibuatuntuk saya review.Silakan BID dgnbertanggung jawab, infokan jangka waktu penyelesaian pekerjaan tanpa molor, danpengalaman anda. Mohon beri kenyamanan kepada owner untuk tidak merevisi ulang.",,,,,,,,,,,,,,,,,,,,
191,Butuh Bantuan Terkait WS Feeder PDDIKTI,Web Programming,"Rp 200,000 - 300,000",30,Selamat soreSaya butuh bantuan terkait WS Feeder PDDIKTIMasalahnya adalah biasanya kode programnya bisa digunakan namun sekarang menjadi tidak bisa digunakanBatas waktu projek 1 bulan,,,,,,,,,,,,,,,,,,,,
192,butuh web programmer,Web Programming,"Rp 500,000 - 1,500,000",7,"mohon di baca dengan baik dan jangan asal bid , cari yg bener"" bisa kerjakan  pingin buat web seperti hellcase. com    saya butuhnya hanya  sign up   login  user profile + saldo  box di beberapa category  misal category pisau isinya bisa rollet pisau , animasinya rollet nya harus sama persis , begitu terpilih hadiahnya otomatis masuk ke inventory user atau bisa lgsg di jadikan saldo .. silahkan liat contohnya di hellcase.com",,,,,,,,,,,,,,,,,,,,
193,Modifikasi Pembuatan GUI simulator perhitungan,Python,"Rp 250,000 - 500,000",4,"GUI sudah ada namun butuh modifikasi. GUI yang dibuat untuk menghitung faktor gesekan menggunakan rumus darcy weisbach. gui disambungkan dengan 2 sensor tekanan untuk mendapatkan nilai pressure drop, lalu nilai selisih pressure dimasukkan pada rumus yang sudah ada pada guimenggunakan bahasa python dan pyqt5 designer",,,,,,,,,,,,,,,,,,,,
194,Database Bahasa Daerah,Laravel Framework,"Rp 200,000 - 350,000",7,"Saya butuh database bahasa daerah di Indonesia, bukan list ya tp kosa katanya untuk saya buat menjadi API, at least ada 10 bahasa daerah",,,,,,,,,,,,,,,,,,,,
195,Perbaikan Bugs,Laravel Framework,"Rp 500,000 - 550,000",7,"Perbaikan APLIKASI PHP 7 & Laravel 8  1.Menambahkan Table Kartu Hutang,Piutang  (Pembelian/Penjualan & Pelunansan).  2. Bugs Transaksi SO Back Office & SO user id sales, Cetakan & laporan nya  3. Bugs Limit Penjualan dan Protect Harga Jual lebih rendah dari harga beli (Password)  4. Bugs Master barang (Edit)  5. Laporan Sttock tambahkan Harga Beli  5. Bugs Transaksi Giro Tolakan & Pencairan Giro  6. Menambahkan Tombol Pencarian data Barang di setiap transaksi    Jika ada yang kurang jelas bisa chat",,,,,,,,,,,,,,,,,,,,
196,"Website tidak bisa diakses, 503 Service Unavailable The server is temporarily busy, try again later!",CPanel,"Rp 250,000 - 300,000",1,"Pagi freelancer,urgent, website saya tidak bisa diaksespagi ini saya lagi cari freelancer yang paham CPANEL, permasahalahannya ada ""Number of Processes74 / 75 (98.67%)""saya ingin freelancer memperbaikinya, via remote. Terimakasih",,,,,,,,,,,,,,,,,,,,
197,PENGEMBANGAN WEBSITE WORDPRESS,Search Engine Optimization (SEO),"Rp 1,000,000 - 3,000,000",14,"Dibutuhkan Web Developer (Wordpress) untuk membuat existing website menjadi lebih profesional dan user friendly, dengan poin-poin sebagai berikut: - Memodifikasi tampilan website dan sekitar 5 landing page untuk tampilannya lebih attractive sehingga bisa menaikkan traffic- Dibuat agar website bisa menampilkan 3 bahasa- Memastikan website berjalan dengan lancar - Memperbaiki jika terjadi masalah- Pengerjaan project -+ 1 BulanKriteria yang dicari:  - Memahami dasar-dasar website dan mengatasi jika terjadi permasalahan - Senang untuk berbagi dan percaya diri untuk melakukan sharing - Senang untuk belajar, Inisiatif dan helpful - Bisa bekerja secara remote dan mudah dihubungi untuk berkoordinasi - Diutamakan berdomisili di Jabodetabek (lokasi kami sendiri di Depok) agar bisa meeting offline dan diskusi bersama. Projects bersifat freelance, berjalan 1 bulan terlebih dulu, jika hasilnya bagus, akan dilanjutkan lagi- Memiliki keahlian tambahan di bidang SEO SEM jadi nilai plus- Silahkan cantumkan harga pada bagian bid juga untuk memudahkan",,,,,,,,,,,,,,,,,,,,
198,Software developer,Full-Stack Development,"Rp 750,000 - 1,000,000",30,Saya membutuhkan seorang software developer untuk membuat aplikasi atau web yang bisa di fungsikan untuk mengolah laporan keuangan,,,,,,,,,,,,,,,,,,,,
199,bug crud & component vuejs,JavaScript,"Rp 250,000 - 300,000",2,"Total bug di 2 page dan 1 component, yaitu crud di 1 page, view data di 1 page berbeda, dan 1 component dialog popup (mirip sweetalert2). Dialog popup ini functionnya sdh jalan, tapi masih berupa prompt popup. pengerjaan remote via anydesk",,,,,,,,,,,,,,,,,,,,
200,Membuat Website Maps tracker di hubungkan dengan API firebase,JavaScript,"Rp 750,000 - 1,000,000",7,"Membuat website simple hanya tampilan maps aja yang akan di hubungkan dengan alat, jadi websitenya untuk memonitoring alat tersebut berada di mananya.",,,,,,,,,,,,,,,,,,,,
201,pembuatan website alumni,Web Programming,"Rp 2,000,000 - 3,000,000",30,"pembuatan website alumni universitasModul Website:Desain antarmuka pengguna yang menarik dan responsif untuk memastikan pengalaman pengguna yang optimal di berbagai perangkat.Pembuatan halaman beranda yang informatif, menyajikan berita terkini, acara universitas, dan pencapaian alumni terkemuka.Profil Alumni: Halaman yang memuat profil lengkap alumni dengan foto, informasi kontak, dan riwayat pendidikan mereka.Pencarian Alumni: Fitur pencarian yang memungkinkan pengguna mencari alumni berdasarkan kriteria tertentu, seperti tahun lulus, program studi, atau lokasi.Forum Diskusi: Tempat di mana alumni dapat berbagi ide, pengalaman, dan koneksi, serta berpartisipasi dalam diskusi yang relevan.Lowongan Pekerjaan: Modul untuk mengumumkan lowongan pekerjaan dari perusahaan mitra atau alumni yang mencari tenaga kerja.Galeri Foto: Menampilkan foto-foto kegiatan universitas dan acara alumni.Kontak: Halaman yang menyediakan informasi kontak untuk pertanyaan atau keterangan lebih lanjut.Terdapat :Database AlumniDatabase Artikel",,,,,,,,,,,,,,,,,,,,
202,Situs game online,Full-Stack Development,"Rp 3,000,000 - 5,000,000",7,Saya cari yang bisah membuat situs game online,,,,,,,,,,,,,,,,,,,,
203,Scraping google marketing,Web Scrapping,"Rp 300,000 - 800,000",7,"Helo kak, saya ingin dibuatkan sebuah tools scrapping. berbasis web, mirip aplikasi Favor delta. namun dalam bentuk website htmljika anda bisa, mhn tinggalkan nomer wa, dan di utamakan ada contoh yg sdh pernah dikerjakan.Terima kasih.",,,,,,,,,,,,,,,,,,,,
204,Tambah fitur Aplikasi Mobile React Native - (Quantity Add to Cart),Mobile Programming,"Rp 500,000 - 900,000",14,"Halo, Kami Membutuhkan Jasa untuk penambahan fitur ""Edit Quantity Product pada saat Add To Cart"".Aplikasi saat ini sudah berjalan normal hanya perlu penambahan fitur seperti yang disebutkan diatas. Kondisi saat ini setiap mau menambahkan jumlah barang yang dibeli harus klik tanda plus(+) tidak bisa diketik langsung. Untuk lebih jelas bisa dilihat pada screenshot terlampir.Sourcecode aplikasi sudah tersedia menggunakan React Native. Scope of project adalah sbb : Tambahkan fitur  Edit Quantity Product pada saat Add To Cart. pada sourcecode yang kami sediakan.Test fitur yang baru tsb dalam bentuk aplikasi atau simulator Mobile dan berjalan lancar sesuai dengan request kami.Build APK & IoS,dan Aplikasi harus di upload ke Akun Playstore & Appstore milik kami.Project kami nyatakan selesai apabila tidak ada error dan issue di Playstore & Appstore pada saat kami uji untuk install di HP android & iphone dan aplikasi bisa berjalan normal.Diutamakan yang berdomisili di Jabodetabek, dan memiliki skill Php Laravel menjadi nilai tambah karena backend aplikasi menggunakan Laravel.Tidak menutup kemungkinan akan ada project lanjutan jika kami puas dengan pekerjaan nya karena aplikasi ini masih akan kami kembangkan kedepannya. Demikian disampaikan silahkan bid bagi yang berminat yaa.Terima kasih.",,,,,,,,,,,,,,,,,,,,
205,Binary Image Classification,Python,"Rp 750,000 - 1,500,000",5,"Dataset sekitar 1000-1500 images (PNG).Pekerja mampu melakukan klasifikasi gambar dengan :Reduksi dimensionality (PCA / TSNE / Auto Encoder)SVMCNNTransfer learning (bisa menggunakan Resnet50 atau inception)Vision Transformers (Vit).Project ini sudah pernah dikerjakan tetapi akurasi tidak baik (dibawah 55%), perlu dilakukan optimasi atau beberapa teknik augmentasi untuk meningkatkan akurasi.  Diharapkan val akurasi di range 70-85 %Disertakan hasil pengujian sebelumnya untuk menjadi catatan atau pertimbangan.",,,,,,,,,,,,,,,,,,,,
206,Pembuatan Website auto assessment,Web Programming,"Rp 1,500,000 - 3,000,000",25,"Buatkan saya website untuk auto assessment yang dimana ada soal pilihan ganda , scoring, feedback jawaban otomatis, dan bisa menjadikan pdf untuk hasil scoring dan deskripsi.untuk lebih lanjut bisa diskusikan dengan saya.",,,,,,,,,,,,,,,,,,,,
207,Sistem Penjualan Minimarket,Web Programming,"Rp 3,500,000 - 7,500,000",30,"saya mau membuat sistem penjualan minimarket, dengan metode pembayaran pakai kartu seperti emoney.jadi nanti kartu tersebut mempunyai ID pemegang kartu seperti yang ada di Foodcort di mall atau seperti di Time Zone, dan bisa dibuat saldo untuk pembelian barang di minimarket. kartu tersebut juga dapat di isi ulang saldonya. sistem tersebut berbasis web. dan Sistem tersebut dapat source code dapat diberikan.Jika memang sudah ada yang pernah membuat dengan depkripsi yang ada di atas boleh di tawarkan. dan langsung di berikan DEMO perogramnya.Terima Kasih",,,,,,,,,,,,,,,,,,,,
208,Dibeli Akun Adsense tahun 2013 - 2015 untuk Website,Web Programming,"Rp 2,000,000 - 7,000,000",70,"Dicari untuk dibeli, Akun Adsense tahun 2013 - 2015 untuk website, sudah PIN, PIN + PO.Tulis Spek:✅ Adsense untuk blog/website✅ Email utama✅ Iklan tayang 100%✅ Infokan sudah PO/PIN berapa kali✅ apakah ada domain yg terhubungMohon kirimkan screenshot adsense yg berhubungan dengan spek di atas.Terimakasih",,,,,,,,,,,,,,,,,,,,
209,Membuat landing page,Web Programming,"Rp 800,000 - 1,200,000",14,Saya membutuhkan landing page sederhana yang interaktif dan responsif ke pengunjung. Informasi akan diberikan ketika bid,,,,,,,,,,,,,,,,,,,,
210,Membuat Sistem penjualan sederhana Pada Website,Laravel Framework,"Rp 1,000,000 - 1,500,000",7,"Dibutuhkan orang yang bisa membuat website penjualan sederhana menggunakan PHP, dan java. Deadline 1 minggu",,,,,,,,,,,,,,,,,,,,
211,laravel task,Laravel Framework,"Rp 200,000 - 600,000",7,"laravel versi 9.0butuh bantuan solve beberapa task berikut: 1. duplicate button -> menu pembeli, untuk menduplicate data pembeli (urlpreview_undangan + 3uniqnumber)2. Pricelist : Create, Read, Delete Pricelist (di current CMS admin), dan preview pdf file seperti https://stackoverflow.com/questions/25938294/laravel-display-a-pdf-file-in-storage-without-forcing-download3. Image Wedding Gift tidak perlu uploadpengerjaan via remote anydesk, akan dijelaskan terlebih dahulu sebelum pengerjaan.diutamakan yang memiliki portfolio live Laravel 9 + paham konsep spatie permission.",,,,,,,,,,,,,,,,,,,,
212,Pembuatan Website Monitoring Publisher Ads,Web Programming,"Rp 750,000 - 900,000",15,"Halo, saya sedang mencari freelance untuk membuat website dasboard ads publisher. Jadi website ini adalah semacam super app untuk memonitor platform ads seperti admob, start.io, unity ads, applovin, tapjoy, pokkt, FAN, dll. Jadi saya gk perlu buka dasboard masing2 platfrom ads tiap mau ceknya.Harga bid bisa di negosiasikan lagi.",,,,,,,,,,,,,,,,,,,,
213,Dibutuhkan Source Code Instagram Downloader (Reels & Foto),Web Programming,"Rp 350,000 - 500,000",7,"Dibutuhkan source code instagram downloader video, reels, igtv, photo maupun yg diContohnya seperti: https://www.isave.cc/Framework: Next JS*Jangan scrapper dari website lain",,,,,,,,,,,,,,,,,,,,
214,Penambahan Fitur Aplikasi Web Nodejs/Reactjs,Web Programming,"Rp 1,000,000 - 2,500,000",14,Kami memiliki beberapa aplikasi yang berjalan dengan NodeJs/Reactjs yang mengguna mongodb dan sql server. Saat ini ada beberapa pekerjaan yang perlu dilakukan :Penambahan Pilihan ProdukPerhitungan Akumulasi premiSilahkan diajukan penawarannya.,,,,,,,,,,,,,,,,,,,,
215,Blockchain,JavaScript,"Rp 200,000 - 250,000",1,Saya butuh function javascript yang bisa ngecek realtime transaction yang terjadi di wallet address sayarequirementsMenggunakan typescriptMenggunakan library web3js,,,,,,,,,,,,,,,,,,,,
216,Bikin backlink di situs media yang Anda tulis,Search Engine Optimization (SEO),"Rp 100,001 - 300,000",7,"Untuk pembuatan backlink ini, ada 2 cara:- bikin artikel baru dan taruh backlink- revisi sedikit artikel yang telah Anda tulis dan taruh backlink.Kami menerima kedua cara tersebut di atas.Silakan ajukan alamat situs mana Anda mampu buatkan backlink di tempat tersebut",,,,,,,,,,,,,,,,,,,,
217,Dibutuhkan Jasa SEO untuk masuk page one,Search Engine Optimization (SEO),"Rp 500,000 - 1,000,000",7,Saat ini kami membutuhkan jasa SEO Website kami untuk masuk ke halaman pertama google terutama menjadi top 3website kami adalah landing page untuk sebuah softwaretolong lampirkan portfolio andaTerimakasih,,,,,,,,,,,,,,,,,,,,
218,Website SEO Saham,Search Engine Optimization (SEO),"Rp 1,000,000 - 3,000,000",7,Tolong untuk melakukan on page dan off page SEO untuk website sahamgorengan.com dengan kata kunci1. Rekomendasi saham2. Saham gorengan3. Saham indonesia4. Ihsg hari iniKata kunci harus mencapai page 1 google / top 10 keyword,,,,,,,,,,,,,,,,,,,,
219,seo writer content penulis,Search Engine Optimization (SEO),"Rp 9,000,000 - 10,000,00",30,"Dengan hormat     Saat ini kami membutuhkan worker expert dengan kriteria     Memahami seo     Bisa menterjemahkan tool audit neil patel,sem rush, kwfinder, dll     Memahami search console dan page speed google serta google index     Memahami copy writer        Untuk dapat melakukan seo 3 keyword di 1 website dengan target seo score 90",,,,,,,,,,,,,,,,,,,,
220,CARI BACKLINK BERKUALITAS,Search Engine Optimization (SEO),"Rp 1,000,000 - 2,000,000",7,MENCARA BACKLINK BERKUALITAS UNTUK DA PA NYA dan sangat mudah di akses,,,,,,,,,,,,,,,,,,,,
221,Optimasi Website dan SEO,Search Engine Optimization (SEO),"Rp 1,000,000 - 5,000,000",90,"Halo guys!Saya lagi cari partner / tim yang kompeten dalam hal optimasi website (SEO) dari segala teknik, baik on page maupun offpage, serta strategi dalam menaikkan traffic secara organic.Saya butuh orang yang fast response, bertanggung jawab, paham dan tau strategi, dan inisiatif. Diutamakan berdomisili di Jakarta, agar bisa meeting offline dan diskusi bersama.Projects bersifat freelance, berjalan 3 bulan terlebih dulu, jika hasilnya bagus, akan dilanjutkan lagi.",,,,,,,,,,,,,,,,,,,,
222,Optimasi Google My Bussiness,Search Engine Optimization (SEO),"Rp 800,000 - 1,000,000",30,"Saya cari orang yang bisa optimasi Google My Bussiness di bidang jasa transportasi agar ketika di search dengan keyword tertentu bisa muncul di 3 teratas. keyword akan diinformasikan via private messageTolong pastikan sebelum bid Anda berpengalaman dalam optimasi GMB, Seo atau sejenisnya. Bukan sekedar pernah bikin atau pernah jadi admin GMB.Saya ada sekitar 5 GMB, tapi di project ini kita coba satu dulu. Jika hasilnya memuaskan bisa dilanjut open project untuk GMB yang lain.Budget yang tertera adalah untuk 1 bulan, jika membutuhkan waktu lebih dari 1 bulan nanti bisa create project lagi di bulan kedua dst..",,,,,,,,,,,,,,,,,,,,
223,Meningkatkan Peringkat Website,Search Engine Optimization (SEO),"Rp 5,000,000 - 6,000,000",80,"Meningkatkanperingkat website di 5 besar google dengan focus keyword: aplikasi eLearning, membuate learning, dan aplikasi LMS. Untuk Budget sudah termasukdengan maintenance 3 bulan setelah mencapai peringkat 1. Accept bid setelahmencapai peringkat 1 + 3 bulan maintenance setelah peringkat 1.",,,,,,,,,,,,,,,,,,,,
224,Pembuatan Penulisan dan Penerapan penelitian networking dengan NS2,Network Security,"Rp 1,000,000 - 3,000,000",7,"Pembuatan proposal mengenai performansi algoritma leach untuk throughput, smoothness pada wireless sensor network WSN. Berdasarkan referensi yang akan diberikan. Dengan simulasi menggunakan Network Simulator (NS2).Selanjutnya diterangkan dan dijelaskan cara kerjanya melalui gmeet",,,,,,,,,,,,,,,,,,,,
225,instalasi dan migrasi mail server zimbra,Network Security,"Rp 5,000,000 - 15,000,00",7,"Lokasi di jakarta, installasi dan migrasi mail usernya 50 client. Diskusi paket kerjanya dl",,,,,,,,,,,,,,,,,,,,
226,Reinstall Outlook & Setup Mail At macOS,Email Handling,"Rp 200,000 - 350,000",2,"Dear WorkerSelamat siang, saat ini saya sedang mencari tenaga one time support untuk ngebantu saya reinstall outlook dan setup mail di macOS versi 13pekerjaan bisa remote pakai anydesk / Teamviewer , dengan catatan :- Backup data PST / OST- Tidak boleh ada kehilangan, data email pada di macOS- email corporateTerima Kasih",,,,,,,,,,,,,,,,,,,,
227,Setup email server smtp ip u/ cold email blast broadcast,Email Handling,"Rp 1,000,000 - 3,000,000",10,"lagi cari tim teknis u/ bantu Setup email server smtp ip u/ cold email blast broadcast.Perlu tau cara kerja setup server ini, warmup, provide IP, dll, u/ bisa masuk k inbox.Silahkan bid & berikan detail penjelasannya, bisa kapasitas kirim email berapa.Email client belum ada, km perlu bisa siapin blueprint lengkap a-z.Thx",,,,,,,,,,,,,,,,,,,,
